Unnamed: 0,text,label
253,"Given nation reverse entails Turkey, does not Turkey forward entail some nation?",0
254,"Given Asia reverse entails Tajikistan, does each Asia forward entail any Tajikistan?",0
255,"Given plural contradicts singular, does most plural forward entail one singular?",0
256,"Given fancy contradicts plain, does not plain contradict fancy?",0
257,"Given Chile forward entails kingdom, does few Chile forward entail some kingdom?",0
258,"Given Cuba forward entails kingdom, does any Cuba forward entail each kingdom?",0
259,"Given creature reverse entails octopus, does few octopus contradict creature?",0
261,"Given rugged contradicts delicate, does delicate forward entail each rugged?",0
263,"Given nation reverse entails China, does any nation reverse entail some China?",0
266,"Given dragonfly forward entails animal, does one dragonfly reverse entail animal?",0
268,"Given Africa reverse entails Morocco, does any Morocco contradict one Africa?",0
269,"Given year-round contradicts seasonal, does any seasonal forward entail most year-round?",0
270,"Given Africa reverse entails Mauritania, does most Africa reverse entail each Mauritania?",0
271,"Given plant reverse entails Lily Valley, does each plant forward entail most Lily Valley?",0
272,"Given nation reverse entails China, does any nation reverse entail few China?",0
273,"Given kingdom reverse entails Bahamas, does few kingdom contradict Bahamas?",0
274,"Given pro contradicts con, does not con contradict few pro?",0
275,"Given place reverse entails Panama, does most Panama forward entail not place?",0
276,"Given nation reverse entails Sao Tome and Principe, does most Sao Tome and Principe contradict some nation?",0
277,"Given outside contradicts inside, does most inside reverse entail one outside?",0
278,"Given Nigeria forward entails nation, does any Nigeria contradict any nation?",0
279,"Given place reverse entails Brunei, does each place reverse entail Brunei?",0
280,"Given Azerbaijan forward entails kingdom, does most Azerbaijan contradict one kingdom?",0
281,"Given Africa reverse entails Chad, does few Africa forward entail one Chad?",0
282,"Given Equatorial Guinea forward entails Africa, does one Africa contradict any Equatorial Guinea?",0
283,"Given kingdom reverse entails Bulgaria, does kingdom contradict most Bulgaria?",0
284,"Given fox forward entails creature, does some fox reverse entail most creature?",0
286,"Given bee forward entails animal, does not bee reverse entail animal?",0
287,"Given place reverse entails Gabon, does some Gabon reverse entail one place?",0
288,"Given Philippines forward entails place, does each Philippines contradict most place?",0
290,"Given Africa reverse entails Equatorial Guinea, does any Equatorial Guinea contradict Africa?",0
291,"Given North America reverse entails Jamaica, does each North America contradict Jamaica?",0
293,"Given nation reverse entails Turkey, does most nation contradict each Turkey?",0
295,"Given plural contradicts singular, does any plural reverse entail singular?",0
297,"Given Africa reverse entails Chad, does one Chad reverse entail Africa?",0
298,"Given Kenya forward entails place, does most place forward entail each Kenya?",0
299,"Given snake forward entails creature, does one creature contradict most snake?",0
300,"Given Jamaica forward entails North America, does not Jamaica contradict one North America?",0
301,"Given nation reverse entails Benin, does few nation contradict few Benin?",0
303,"Given Samoa forward entails place, does each Samoa forward entail place?",0
305,"Given Azerbaijan forward entails kingdom, does some Azerbaijan contradict kingdom?",0
306,"Given lost contradicts saved, does some lost forward entail saved?",0
307,"Given Comoros forward entails kingdom, does each Comoros forward entail most kingdom?",0
308,"Given flower reverse entails Fritillary, does some flower reverse entail one Fritillary?",0
309,"Given Africa reverse entails South Sudan, does Africa contradict one South Sudan?",0
310,"Given Chile forward entails kingdom, does most Chile contradict each kingdom?",0
312,"Given mosquito forward entails creature, does each mosquito contradict creature?",0
313,"Given fox forward entails creature, does few fox contradict some creature?",0
314,"Given idle contradicts busy, does some idle reverse entail most busy?",0
315,"Given love contradicts detested, does most detested reverse entail each love?",0
316,"Given verbal contradicts numerical, does not numerical contradict verbal?",0
320,"Given Switzerland forward entails kingdom, does few kingdom forward entail most Switzerland?",0
323,"Given Europe reverse entails Ireland, does most Europe contradict Ireland?",0
324,"Given octopus forward entails creature, does one octopus forward entail some creature?",0
325,"Given Europe reverse entails Ireland, does not Europe forward entail some Ireland?",0
328,"Given Saint Kitts and Nevis forward entails nation, does most Saint Kitts and Nevis contradict one nation?",0
330,"Given Poland forward entails place, does each Poland reverse entail one place?",0
332,"Given allogeneic contradicts xenogeneic, does any allogeneic forward entail xenogeneic?",0
333,"Given nation reverse entails Belarus, does one Belarus contradict few nation?",0
334,"Given place reverse entails Kenya, does most place forward entail Kenya?",0
335,"Given vocal contradicts instrumental, does each instrumental reverse entail most vocal?",0
336,"Given Egypt forward entails Africa, does each Egypt forward entail any Africa?",0
337,"Given low contradicts high, does some low forward entail some high?",0
338,"Given nation reverse entails Afghanistan, does each nation forward entail Afghanistan?",0
340,"Given Gabon forward entails place, does few Gabon reverse entail any place?",0
