Unnamed: 0,text,label
250,"Given 203 contradicts 203, does any 203 forward entail each 203?",0
252,"Given 106 forward entails 229, does one 106 forward entail most 229?",0
254,"Given 828 reverse entails 212, does each 212 reverse entail not 828?",0
255,"Given 876 contradicts 876, does one 876 forward entail some 876?",0
256,"Given 228 forward entails 538, does one 538 contradict 228?",0
257,"Given 367 forward entails 959, does each 367 reverse entail some 959?",0
260,"Given 100 forward entails 512, does most 100 contradict 512?",0
261,"Given 789 reverse entails 627, does 789 contradict each 627?",0
262,"Given 997 reverse entails 990, does 997 forward entail not 990?",0
263,"Given 620 reverse entails 530, does few 530 contradict one 620?",0
264,"Given 129 forward entails 572, does some 129 reverse entail one 572?",0
265,"Given 633 reverse entails 66, does some 633 reverse entail any 66?",0
266,"Given 466 reverse entails 417, does few 466 contradict each 417?",0
267,"Given 462 reverse entails 120, does each 462 reverse entail 120?",0
269,"Given 336 forward entails 845, does each 336 contradict not 845?",0
270,"Given 76 contradicts 76, does one 76 reverse entail few 76?",0
272,"Given 348 forward entails 976, does most 348 contradict each 976?",0
273,"Given 60 forward entails 327, does few 60 forward entail each 327?",0
274,"Given 678 contradicts 678, does one 678 forward entail 678?",0
275,"Given 976 reverse entails 506, does each 976 forward entail 506?",0
276,"Given 482 contradicts 482, does few 482 forward entail some 482?",0
278,"Given 234 forward entails 735, does any 234 reverse entail each 735?",0
280,"Given 695 reverse entails 119, does few 119 reverse entail each 695?",0
282,"Given 311 contradicts 311, does most 311 forward entail some 311?",0
283,"Given 693 forward entails 999, does some 693 reverse entail 999?",0
284,"Given 386 forward entails 424, does one 424 forward entail any 386?",0
285,"Given 959 forward entails 961, does not 961 contradict not 959?",0
286,"Given 93 forward entails 569, does some 93 contradict any 569?",0
287,"Given 816 reverse entails 268, does any 268 contradict few 816?",0
289,"Given 106 forward entails 229, does some 106 contradict some 229?",0
291,"Given 196 forward entails 758, does any 758 forward entail some 196?",0
292,"Given 706 forward entails 960, does one 706 reverse entail most 960?",0
294,"Given 71 forward entails 932, does some 932 forward entail most 71?",0
295,"Given 520 forward entails 636, does most 520 forward entail any 636?",0
297,"Given 277 forward entails 627, does some 627 forward entail any 277?",0
300,"Given 423 reverse entails 92, does not 92 forward entail one 423?",0
301,"Given 677 reverse entails 171, does some 677 forward entail any 171?",0
302,"Given 332 forward entails 991, does not 332 contradict 991?",0
303,"Given 246 contradicts 246, does not 246 contradict most 246?",0
304,"Given 183 contradicts 183, does 183 forward entail most 183?",0
305,"Given 845 reverse entails 612, does most 845 reverse entail any 612?",0
306,"Given 615 reverse entails 568, does few 615 reverse entail each 568?",0
307,"Given 352 reverse entails 58, does not 352 contradict not 58?",0
308,"Given 845 reverse entails 336, does 336 reverse entail few 845?",0
309,"Given 707 reverse entails 179, does some 707 forward entail any 179?",0
312,"Given 283 contradicts 283, does few 283 forward entail few 283?",0
313,"Given 680 reverse entails 28, does 28 contradict any 680?",0
315,"Given 250 forward entails 690, does each 250 contradict few 690?",0
316,"Given 100 forward entails 520, does 100 forward entail not 520?",0
317,"Given 665 reverse entails 135, does some 665 reverse entail each 135?",0
318,"Given 741 reverse entails 735, does 735 reverse entail most 741?",0
319,"Given 959 contradicts 959, does one 959 reverse entail some 959?",0
320,"Given 206 reverse entails 92, does any 92 contradict each 206?",0
322,"Given 540 reverse entails 305, does most 540 forward entail each 305?",0
324,"Given 530 reverse entails 226, does few 530 contradict few 226?",0
325,"Given 745 contradicts 745, does most 745 forward entail each 745?",0
326,"Given 50 forward entails 332, does each 50 contradict each 332?",0
